player	age	yds_per_drive	dr_accuracy	dr_totl	greens_in_reg	putt_avg	save_pct	events	rounds	cuts	top10	earn	log_earn
Daniel Summerhays	34	287.1	63.7	136	63.4	1.774	49.1	29	95	19	1	826124.25	5.9170454
Soren Kjeldsen	42	273.6	69.2	187	62.0	1.755	49.0	17	49	10	1	722913.20	5.8590862
Roberto Castro	32	280.5	66.4	169	63.7	1.819	48.9	25	69	10	0	367361.94	5.5650942
Ryo Ishikawa	26	288.8	51.9	122	63.3	1.777	48.9	20	56	8	1	319748.28	5.5048082
Byeong Hun An	26	300.3	57.2	41	64.0	1.789	48.9	22	73	17	3	1236089.6	6.0920500
Keegan Bradley	31	299.8	66.8	44	68.6	1.775	48.8	29	103	23	5	1940477.8	6.2879087
Rick Lamb	--	298.0	64.8	54	66.9	1.774	48.8	19	50	7	1	524372.44	5.7196399
Kyle Reifers	34	286.1	65.1	146	66.0	1.817	48.7	32	88	14	0	454569.60	5.6576004
Sebastian Munoz	25	296.0	54.5	70	63.2	1.781	48.7	17	49	8	1	563900	5.7512021
Smylie Kaufman	25	304.8	54.8	25	65.3	1.767	48.7	26	72	11	1	784757.90	5.8947357
Robert Garrigus	40	300.7	59.5	37	68.6	1.764	48.5	26	74	12	2	880905.40	5.9449293
Justin Thomas	24	309.7	55.1	8	67.2	1.694	48.2	25	79	18	12	9921560	6.9965800
Brooks Koepka	27	311.1	55.8	7	63.5	1.721	48.2	24	80	19	7	5612397	6.7491484
Brad Fritsch	40	288.3	56.4	127	64.2	1.800	48.2	N/A	N/A	N/A	N/A	N/A	N/A
Carl Pettersson	40	280.2	51.9	171	57.9	1.748	48.0	N/A	N/A	N/A	N/A	N/A	N/A
Harold Varner, III	27	302.4	59.6	29	67.7	1.799	48.0	31	100	19	1	918779.30	5.9632112
James Hahn	36	293.9	63.1	86	66.1	1.792	48.0	28	96	20	4	1841314.4	6.2651279
Ryan Brehm	--	311.5	51.9	4	67.4	1.799	47.9	25	78	15	0	396258.20	5.5979783
Si Woo Kim	22	289.8	57.0	118	59.6	1.794	47.9	30	77	14	2	2681176.8	6.4283255
Spencer Levin	33	279.0	67.8	175	65.6	1.800	47.9	31	86	13	1	469729.88	5.6718482
Shane Lowry	30	296.4	65.8	67	67.6	1.785	47.8	16	49	11	1	831410.90	5.9198157
Rod Pampling	48	287.8	60.8	131	64.0	1.817	47.8	22	71	13	1	1539421.9	6.1873577
Kyle Stanley	30	296.5	68.6	66	70.4	1.776	47.7	29	100	22	5	3402105.8	6.5317478
Nick Taylor	29	291.6	61.7	105	66.1	1.796	47.7	29	96	20	4	1255259.4	6.0987335
Gonzalo Fernandez-Castano	37	292.1	53.3	99	62.2	1.780	47.6	N/A	N/A	N/A	N/A	N/A	N/A
D.A. Points	41	278.1	65.8	180	66.8	1.779	47.5	22	68	12	1	893699.94	5.9511917
Ryan Moore	35	288.0	67.9	130	65.0	1.764	47.3	24	79	18	2	1751851	6.2434972
Tag Ridings	43	301.6	58.2	32	65.9	1.761	47.3	20	59	13	1	489926.75	5.6901312
Martin Laird	35	296.9	65.7	62	65.9	1.765	47.2	25	83	17	5	1759706.4	6.2454402
Mackenzie Hughes	27	294.3	59.6	81	64.7	1.779	47.0	31	105	22	2	2355553.3	6.3720929
